instance_id,complexity_percentage,category,solvability_percentage,reasoning
astropy__astropy-12907,-1,error,-1,Failed to parse response
astropy__astropy-13033,15,easy,85,"The change is confined to a single method in one file (TimeSeries._check_required_columns). It only adds a small helper to format error-message arguments and revises the ValueError text. No algorithms or data structures are altered; the functional behaviour of the class remains identical except for clearer messaging. Understanding the fix requires minimal domain knowledge (just that TimeSeries has a list of required columns). An AI reading the misleading message and the if-block that constructs it could quickly infer that the comparison should include all required columns, not just the first. Crafting the helper to print either a scalar or list is straightforward string manipulation. Because the scope is narrow, the logic is simple, and no interaction with other parts of the codebase is needed, the task is highly solvable by automated tools."
astropy__astropy-13236,20,easy,85,"The patch touches a single file and consists solely of deleting a short conditional block (≈7 lines) that auto-converts structured NumPy arrays into an NdarrayMixin when adding them to an Astropy Table. No new logic, algorithms, or cross-module interactions are introduced. Understanding that this behavior change is desired requires some knowledge of Astropy mixins, but the mechanical change—removing the specified code block—is straightforward. Because the problem statement pinpoints the exact code to be altered and the solution is a simple deletion, an AI system could reliably generate the correct patch with minimal reasoning, leading to a high solvability score despite the need for minor domain context."
astropy__astropy-13398,70,hard,35,"The patch touches five files, introduces an entirely new transformation module, adds a new frame attribute, updates multiple existing transformation functions, and implements non-trivial mathematics for Earth-centred/observed frame conversions and atmospheric refraction. Correctly wiring these transforms into Astropy’s FrameTransformGraph demands familiarity with the library’s internal architecture and with celestial-mechanics conventions (left-handed vs right-handed frames, sidereal time, ERFA refraction coefficients, topocentric vs geocentric aberration). Although the issue description contains a prototype, the final solution is significantly richer: it handles refraction, location propagation, time synchronisation, and edge-case safeguards (e.g., numerical limits for sin/cos altitude). This breadth and the specialised domain knowledge push complexity to the “hard” range. For an AI starting only from the problem statement, reproducing all these nuanced, domain-specific details—especially the correct ERFA calls and matrix orientations—would be challenging, hence a moderate-low solvability estimate."
astropy__astropy-13453,18,easy,87,"The fix consists of adding two straightforward lines to the HTML writer: storing the column objects on the Data object and invoking the helper that applies user-supplied column formatters. No algorithms are introduced, no additional files are touched, and the change mirrors logic that already exists in other writer classes. An AI system reading the bug report could easily search for where formats are handled in other formats, notice the missing call in the HTML path, and replicate it. Domain knowledge needed is minimal—just understanding that _set_col_formats() must be called. Therefore the change is simple (low complexity) and highly solvable."
astropy__astropy-13579,30,medium,60,"The change touches a single method in one file and modifies only three lines, so the code delta is small. However, it requires understanding how SlicedLowLevelWCS substitutes world-coordinate values for the axes that were removed by slicing and why a hard-coded constant (1.) leads to incorrect pixel solutions when the PC matrix couples axes. Fixing the bug involves computing the correct default world coordinates via a call to _pixel_to_world_values_all and using those instead of the placeholder. This demands moderate domain knowledge of astropy’s WCS API and slice semantics but no elaborate algorithmic work, making the overall complexity modest. An AI system could infer the need to pass realistic world values rather than a constant and replicate the patch once the bug is reproduced, but it must understand the intent of the helper routine and axis bookkeeping, so success is not trivial yet still plausible. Hence, medium difficulty and ~60 % solvability."
astropy__astropy-13977,52,hard,46,"The patch modifies a single method in one file, but the change spans ~50 lines and introduces nuanced control flow around numpy’s __array_ufunc__ protocol. It wraps existing logic in a try/except, analyses the *array_ufunc* implementations of every input/output, conditionally returns NotImplemented or re-raises, and still preserves all original behavior for the successful path. Achieving this fix requires solid understanding of numpy’s ufunc dispatch rules, astropy’s Quantity unit-handling, and how Python’s binary operator fall-back works. No algorithmic heavy-lifting is added, but the semantic subtlety and need for deep domain knowledge make it more than a straightforward bug-fix. An AI without intimate knowledge of numpy’s duck-typing intricacies would find it challenging to infer the correct error-handling and compatibility checks, so solvability is below 50%, though not impossible with strong guidance."
astropy__astropy-14096,30,medium,80,"The patch touches a single method in one file and changes just a few lines, so the raw code change is small. However, it requires understanding the subtle difference between __getattr__ and __getattribute__, how Python’s attribute-resolution order interacts with properties, and why re-raising an AttributeError inside __getattr__ can mask the original missing attribute. That nuance elevates it slightly above a trivial typo fix, but the overall fix is straightforward once the cause is understood. Because the symptom and minimal reproduction are clearly described in the problem statement, and the remedy is a well-known pattern (delegate to __getattribute__ to surface the correct exception), an automated system with knowledge of Python’s data-model quirks has a good chance of proposing the same solution. Hence the task is moderate in complexity and highly solvable."
astropy__astropy-14182,35,medium,60,"The change touches a single file and adds roughly twenty lines, extending the existing fixed-width RST writer/reader to honor the generic `header_rows` option already implemented for other formats. No new algorithms are introduced, but the developer must understand how the table writer builds header, border, and data lines and how the reader skips the correct number of header lines. Adjusting `start_line`, choosing the right border line index, and threading `header_rows` through the constructor require familiarity with the internal abstractions yet remain straightforward once the design is understood. For an AI system, discovering where to pass the parameter and updating the offsets is achievable but not trivial—one must read surrounding code and reason about indexing—so solvability is moderate rather than high."
astropy__astropy-14309,15,easy,85,"The change touches a single function in one file, modifying only a handful of lines to avoid an IndexError. The bug is straightforward: `args[0]` was accessed when `args` could be empty. The fix returns the result of a filename-extension check directly, bypassing the faulty access. No complex algorithms or cross-module interactions are involved, so overall code complexity is low (≈15%). Any developer or automated system that reads the traceback and code can infer that the guard around `args[0]` is missing, making the problem easy. Because the failure is deterministic and the corrective logic is obvious, an AI has a high likelihood (≈85%) of generating the correct patch."
astropy__astropy-14365,15,easy,88,"The change touches a single file with only two small edits: adding the re.IGNORECASE flag to a compiled regular expression and comparing strings in a case-insensitive fashion by converting to upper case. No new algorithms, data structures, or cross-module interactions are introduced. The problem statement clearly pinpoints the bug (case sensitivity) and even gives an example that fails, making the required fix obvious. Locating the regex compilation and the literal 'NO' check in the code requires minimal exploration of the module. An AI system with basic understanding of Python regex and string comparison could infer these edits directly from the description, so the task is highly solvable. Overall, the fix is a straightforward, low-complexity bug patch."
astropy__astropy-14369,35,medium,55,"The change affects the unit–parsing grammar for CDS-formatted unit strings. Only two files are modified, and the functional change is limited to replacing one grammar production plus regenerating the parser table. No new algorithms or large-scale refactoring is involved, keeping code churn and architectural impact modest (≈35% complexity).

To discover the bug one must understand how left- vs. right-associative division changes the resulting unit object. Fixing it requires reading the current PLY grammar, spotting the incorrect production, and rewriting it so that division becomes left-associative. This demands some familiarity with parser generators and Astropy’s unit system but does not require deep algorithmic work, so the task is deemed “medium”.

Given the explicit bug description, a concrete failing example, and the fact that the solution is essentially a one-line grammar tweak, an AI system has a reasonable chance of producing the correct fix, though it must know to regenerate—or hand-edit—the parse table as well. Because this subtle parser detail and the need to update the generated file may trip up automated approaches, solvability is estimated at about 55%."
astropy__astropy-14508,20,easy,80,"Only a single helper function in one file is modified (~10 LOC). The change replaces an f-string with Python’s default str() representation, converts the exponent to upper-case, and keeps existing logic that trims the string to 20 characters. No new algorithm or cross-module impact. The domain nuance (FITS card length limit of 20 characters for the value field) is described explicitly in the problem statement, so an AI can infer the need to shorten the representation and keep the decimal/exponent intact. Given the clear bug description, isolated location, and straightforward string manipulation, generating this patch is highly feasible. Complexity is low because there are no structural or algorithmic challenges, only minor logic adjustments."
astropy__astropy-14539,15,easy,80,"The fix consists of a one-line change in a single file: extending an existing condition that detected variable-length array columns from only the 32-bit pointer designator (""P"") to also include the 64-bit designator (""Q"").  No new algorithms or structural changes are introduced, and the adjustment is purely additive.  While some FITS domain knowledge is helpful (knowing that both ""P"" and ""Q"" represent VLAs), the change is almost a direct pattern substitution once the bug is understood.  Therefore the technical complexity is low and the task falls in the “easy” category.  Given the clear symptom in the problem statement (difference arises with a ‘QD’ column) and the small, localized nature of the required code change, an automated system that scans for similar conditions could reasonably infer the missing case, leading to a high likelihood of successful patch generation."
astropy__astropy-14598,35,medium,60,"Only a single file is touched and the diff is just three lines, so the code change itself is small.  However, the bug lives in FITS-header parsing logic: it involves regular-expression matching of a keyword/value/comment field and the special FITS escape rule that a literal quote is represented as a doubled quote inside a string.  Fixing the bug requires (1) realising that blindly replacing ""''"" with ""'"" corrupts the legal representation of the empty string, and (2) noticing that the regex can over-match unless it is anchored to the end of the card.  That demands some domain knowledge of FITS headers and careful reasoning about edge-cases that occur only at certain character counts.  An AI supplied only with the failing example and the source could probably locate the erroneous replace() call and suspect it, but adding the regex end-anchor is less mechanical.  Overall the change is not algorithmically complex but it is more than a typo fix, so the task is moderate in complexity and moderately solvable by automated tools."
astropy__astropy-14995,12,easy,82,"The patch touches a single file and changes just one conditional branch, replacing a check for the operand object being None with a check for its mask attribute being None. This is a straightforward logic fix that does not involve new algorithms, data structures, or cross-module interactions, so the overall complexity is low. The bug is clearly described in the problem statement, including a minimal reproducible example and the exact stack trace, making it easy to identify that the issue arises when an operand exists but lacks a mask. Correcting the conditional requires only basic understanding of how the mask attribute should propagate. An AI system that parses the error message and inspects the surrounding code could plausibly infer this fix, especially given the small search space and explicit hint that v5.2 behaved correctly. Therefore, the task is classified as “easy” with a high likelihood of being solvable automatically."
astropy__astropy-7166,15,easy,85,The change touches a single file and effectively adds one logical condition: properties (data descriptors) are now treated like regular functions when inheriting docstrings. No new algorithms or architectural changes are introduced; understanding that `inspect.isdatadescriptor` identifies properties is sufficient. An AI with basic Python reflection knowledge and awareness of the bug description could infer this fix through pattern matching. Therefore the task is low-complexity and highly solvable.
astropy__astropy-7336,15,easy,85,"The bug is localized to a single conditional statement in one file. The failure is clearly described: when the return type annotation is None, a conversion method is incorrectly invoked. The required fix is to extend the existing condition so that None is treated the same as an empty annotation. This requires minimal code change (one line), no new algorithms, and only basic understanding of Python typing and the decorator’s intent. Given the clarity of the stack trace and problem statement, an AI system can reliably infer the correct adjustment, making the task highly solvable with low complexity."
astropy__astropy-7606,28,medium,82,"The patch touches a single file and changes ~10 lines, making the code alteration itself relatively small. The fix, however, relies on a correct understanding of Python’s data-model semantics: __eq__ should return NotImplemented, not False or raise, when it cannot handle the operand, so that Python can fall back to the reflected comparison or ultimately return False. Recognizing that the original code’s attempt to convert ‘other’ to a Unit object can raise TypeError and that this should be intercepted and mapped to NotImplemented requires some domain insight into both the astropy.unit API and Python operator overloading rules. Thus the task surpasses a trivial patch (simple typo/constant) but remains limited in scope and algorithmic complexity. An AI with basic knowledge of Python equality mechanics and the error trace could feasibly suggest the try/except pattern and NotImplemented return, especially since the problem statement gives a concrete failure scenario and desired behavior (“Should be False”). Hence the solvability is high but not trivial, earning an 82% estimate. Overall, the change falls into the lower end of moderate complexity."
